,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
57,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.164,DC,,,,,Solon,Sun Link Operations & Maintenance,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
58,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.166,DC,,,,,Solon,Golf Links Sports Complex,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
59,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.170,DC,,,,,Solon,Lighthouse YMCA,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
60,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.178,DC,,,,,Solon,Water East Service Center (WESC),Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
61,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.179,DC,,,,,Solon,Archer Recreation Center Park,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
62,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.189,DC,,,,,Solon,Freedom Park,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
63,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.203,DC,,,,,Solon,Randolph Center,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
64,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.210,DC,,,,,Solon,Admin Office at Golder Ranch Fire District,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
65,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.211,DC,,,,,Solon,El Pueblo Park,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
66,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.211,DC,,,,,Solon,Parks and Rec Admin Building,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
