year,generation
2016,634.11
2013,971.74
2014,1013.71
2015,1054.22
2016,1101.21
2013,79.22
2014,82.5
2015,68.61
2016,72.36
2013,92.81
2014,110.91
2015,74.2
2016,76.71
2013,7.67
2014,9.52
2015,7.67
2016,7.61
2013,19.92
2014,24.35
2015,17.39
2016,16.82
2013,219.59
2014,246.12
2015,192.22
2016,192.43
2013,97.41
2014,128.04
2015,83.75
2016,87.77
2013,62.79
2014,66.92
2015,58.76
2016,58.62
2013,937.21
2014,977.38
2015,760.81
2016,1011.89
2013,365.58
2014,384.88
2015,351.17
2016,356.38
2013,101.96
2014,118.75
2015,80.68
2016,81.02
2013,64.23
2014,71.62
2015,49.75
2016,58.85
2013,100.83
2014,112.92
2015,73.95
2016,89.82
2013,6.85
2014,9.24
2015,7.96
2016,7
2013,35.4
2014,47.1
2015,34.25
2016,34.35
2013,3.99
2014,4.42
2015,4.51
2016,4.5
2013,585.65
2014,741.5
2015,498.92
2016,531.71
2013,745.43
2014,1035.88
2015,659.42
2016,719.21
2013,295.81
2014,333.66
2015,256.29
2016,255.59
2013,97.25
2014,121.97
2015,91.92
2016,92.17
2013,88.33
2014,112.83
2015,83.63
2016,83.86
2013,350.61
2014,351.28
2015,251.51
2016,263.71
2013,377.86
2014,462.52
2015,312.9
2016,329.11
2013,13.51
2014,18.52
2015,13.5
2016,13.54
2013,67.28
2014,80.39
2015,59.64
2016,60.77
2013,34.71
2014,47.58
2015,31.6
2016,31.89
2013,210.57
2014,221.02
2015,174.39
2016,187.61
2013,67.28
2014,80.39
2015,59.64
2016,60.77
2013,159.52
2014,184.05
2015,142.05
2016,137.91
2013,3.7
2014,4.65
2015,3.89
2016,3.86
2013,152.93
2014,170.91
2015,123.81
2016,128.7
2013,25.47
2014,33.83
2015,24.66
2016,24.72
2013,2.31
2014,3.2
2015,2.61
2016,2.62
2013,69.07
2014,86.43
2015,60.68
2016,62.66
2013,457.16
2014,605.45
2015,385.16
2016,408.06
2013,891.52
2014,877.02
2015,969.66
2016,1004.16
2013,105.84
2014,123.33
2015,83.68
2016,84.03
2013,311.79
2014,358.36
2015,255.91
2016,265.87
2013,54.66
2014,65.32
2015,48.45
2016,49.37
2013,16.41
2014,21.86
2015,17.46
2016,17.51
2013,1094.57
2014,1141.7
2015,1183.89
2016,1241.47
2013,2.31
2014,3.2
2015,2.61
2016,2.62
2013,69.07
2014,86.43
2015,60.68
2016,62.66
2013,141.08
2014,162.32
2015,111.68
2016,122.49
2013,17.41
2014,17.21
2015,16.07
2016,16.61
2015,104.39
2016,111.46
2016,63.37
2013,1201.04
2014,1234.9
2015,1297.86
2016,1355.58
2013,2.24
2014,2.24
2015,2.38
2016,2.39
2013,963.73
2014,1190.36
2015,1196.2
2016,1193.56
2013,793.23
2014,964.05
2015,972.37
2016,988.17
2013,72.11
2014,69.4
2015,72.28
2016,70.06
2013,385.47
2014,387.32
2015,393.41
2016,475.73
2013,9.98
2014,10.37
2015,10.06
2016,10
2013,9.56
2014,9.59
2015,9.68
2016,9.3
2013,816.76
2014,643.15
2015,830.42
2016,936.24
2013,58.41
2014,61.75
2015,56.58
2016,50.29
2013,81.48
2014,80.48
2015,78.19
2016,81.04
2013,162.19
2014,160.88
2015,160.11
2016,161.32
2013,6.25
2014,5.79
2015,6.05
2016,5.68
2013,28.21
2014,26.7
2015,28.22
2016,25.95
2013,17.24
2014,16.96
2015,15.79
2016,16.72
2013,24.87
2014,23.18
2015,24.79
2016,22.69
2013,29.33
2014,28.25
2015,28.13
2016,28.33
2013,4.78
2014,5.07
2015,5.2
2016,4.79
2013,633.79
2014,662.43
2015,621.09
2016,540.75
2013,2822.62
2014,2633.03
2015,2955.29
2016,2759.47
2013,27.92
2014,23.52
2015,27.04
2016,30.65
2013,43.32
2014,43.79
2015,39.45
2016,47.54
2013,39.08
2014,35.21
2015,36.28
2016,42.91
2013,20.98
2014,19.34
2015,19.93
2016,23.31
2013,43.76
2014,44.23
2015,39.85
2016,48.02
2013,86.27
2014,75.55
2015,76.96
2016,87.49
2013,95.16
2014,85.27
2015,86.66
2016,96.4
2013,144.74
2014,144.39
2015,143.19
2016,145.85
2013,7.38
